Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
2018-01-14 09:55PM,2018-01-15 06:29AM,483,31,,514,,,
2018-01-11 11:10PM,2018-01-12 06:36AM,384,59,,446,,,
2018-01-10 12:36AM,2018-01-10 06:27AM,313,38,,351,,,
2018-01-07 10:31PM,2018-01-08 06:10AM,444,15,,459,,,
2018-01-06 10:48PM,2018-01-07 05:53AM,419,6,,425,,,
2018-01-04 10:29PM,2018-01-05 06:32AM,471,12,,483,,,
2018-01-03 09:26PM,2018-01-04 06:35AM,499,50,,549,,,
2018-01-02 10:33PM,2018-01-03 06:44AM,438,50,,491,,,
2018-03-02 10:17PM,2018-03-03 07:03AM,506,20,,526,,,
2018-03-01 10:03PM,2018-03-02 06:37AM,495,19,,514,,,
2018-02-28 10:25PM,2018-03-01 06:38AM,433,60,,493,,,
2018-02-27 10:54PM,2018-02-28 06:37AM,447,14,,463,,,
2018-02-25 01:29PM,2018-02-25 03:25PM,113,3,,116,,,
2018-02-24 10:48PM,2018-02-25 07:12AM,480,22,,503,,,
2018-02-24 12:58PM,2018-02-24 03:16PM,130,8,,138,,,
2018-02-21 10:13PM,2018-02-22 06:10AM,451,26,,477,,,
2018-02-20 10:10PM,2018-02-21 06:29AM,489,9,,498,,,
2018-02-19 09:52PM,2018-02-20 06:16AM,451,53,,504,,,
2018-02-16 11:38PM,2018-02-17 06:03AM,359,26,,385,,,
2018-02-10 11:16PM,2018-02-11 06:43AM,444,2,,446,,,
2018-02-01 10:31PM,2018-02-02 06:32AM,453,27,,481,,,
2018-04-01 04:53PM,2018-04-01 06:28PM,92,3,,95,,,
2018-03-20 09:35PM,2018-03-21 12:38AM,167,16,,183,,,
2018-03-15 11:02PM,2018-03-16 06:35AM,430,23,,453,,,
2018-03-10 12:24AM,2018-03-10 06:18AM,345,8,,354,,,
2018-03-04 11:34PM,2018-03-05 06:36AM,409,12,,421,,,
2018-04-13 10:38PM,2018-04-14 07:08AM,436,73,,510,,,
2018-05-30 01:58PM,2018-05-30 03:57PM,109,10,,119,,,
2018-05-26 11:17AM,2018-05-26 03:27PM,199,51,14.0,250,27.0,137.0,35.0
2018-05-25 09:19PM,2018-05-26 07:03AM,484,99,33.0,583,105.0,313.0,66.0
2018-05-23 10:28PM,2018-05-24 06:13AM,429,36,30.0,465,115.0,282.0,32.0
2018-05-22 10:24PM,2018-05-23 06:48AM,422,82,19.0,504,127.0,244.0,51.0
2018-05-20 09:49PM,2018-05-21 06:30AM,468,53,26.0,521,141.0,253.0,74.0
2018-05-19 11:28PM,2018-05-20 07:08AM,385,75,21.0,460,107.0,228.0,50.0
2018-05-18 11:14PM,2018-05-19 07:07AM,414,59,14.0,473,105.0,231.0,78.0
2018-07-02 01:14AM,2018-07-02 06:42AM,298,30,,328,,,
2018-06-30 09:16PM,2018-07-01 06:31AM,473,82,35.0,555,111.0,288.0,74.0
